gene	clus	fdr	logFC	bjm_annot	bjm_misc_notes
ALKAL2	X23	0.06516441	1.072426915	ARC_3	Extends periventricularly in most samples
ANO3	X23	0.026868789	1.052335364	ARC_3	Extends periventricularly in most samples
DNER	X23	0.000460451	1.030890618	ARC_3	Extends periventricularly in most samples
CNTNAP3B	X23	0.014988703	1.016213517	ARC_3	Extends periventricularly in most samples
RAB3B	X23	0.007241949	1.012481964	ARC_3	Extends periventricularly in most samples
PCDH19	X23	0.054493128	1.007742717	ARC_3	Extends periventricularly in most samples
PCSK1	X23	0.047539657	1.002396854	ARC_3	Extends periventricularly in most samples
APP	X23	1.71e-07	1.000334092	ARC_3	Extends periventricularly in most samples
B4GALNT1	X23	0.007140653	0.969972657	ARC_3	Extends periventricularly in most samples
MC4R	X23	0.062483167	0.957432731	ARC_3	Extends periventricularly in most samples
NNAT	X23	0.023669745	0.943552761	ARC_3	Extends periventricularly in most samples
RSPO2	X23	0.069834481	0.941050991	ARC_3	Extends periventricularly in most samples
NPNT	X23	0.099925592	0.937608217	ARC_3	Extends periventricularly in most samples
TRPC5	X23	0.084352415	0.930300982	ARC_3	Extends periventricularly in most samples
CAMK2A	X23	0.008816974	0.913920928	ARC_3	Extends periventricularly in most samples
RASGRP1	X23	0.074452518	0.870020681	ARC_3	Extends periventricularly in most samples
RXRG	X23	0.006954218	0.823837131	ARC_3	Extends periventricularly in most samples
PLD5	X23	0.04814585	0.821161638	ARC_3	Extends periventricularly in most samples
SOX11	X23	0.000322325	0.784689377	ARC_3	Extends periventricularly in most samples
GFOD1	X23	0.002261653	0.779831055	ARC_3	Extends periventricularly in most samples
CYP26B1	X23	0.037708495	0.778952155	ARC_3	Extends periventricularly in most samples
ADARB1	X23	0.061048863	0.761819689	ARC_3	Extends periventricularly in most samples
SORCS1	X23	0.078903721	0.742972215	ARC_3	Extends periventricularly in most samples
STAT3	X23	0.001053339	0.732281181	ARC_3	Extends periventricularly in most samples
FABP6	X23	0.061048863	0.668115494	ARC_3	Extends periventricularly in most samples
SLC24A3	X23	0.007780634	0.656876327	ARC_3	Extends periventricularly in most samples
NTRK3	X23	0.024364745	0.627612848	ARC_3	Extends periventricularly in most samples
PSEN2	X23	0.061048863	0.61533444	ARC_3	Extends periventricularly in most samples
PSENEN	X23	0.0119605	0.61291349	ARC_3	Extends periventricularly in most samples
KRT18	X23	0.027518029	0.491238124	ARC_3	Extends periventricularly in most samples
PWP2	X23	0.003182813	0.471664101	ARC_3	Extends periventricularly in most samples
TNRC6B	X23	0.001311181	0.454794446	ARC_3	Extends periventricularly in most samples
RRAGB	X23	0.007241949	0.40362486	ARC_3	Extends periventricularly in most samples
SERPINA3	X24	7.56e-06	2.40618377	DISCARD	Donor specific (5993)
FOS	X24	1.79e-05	2.08392706	DISCARD	Donor specific (5993)
SOX9	X24	4.11e-07	2.05620755	DISCARD	Donor specific (5993)
RYR3	X24	2.85e-06	1.998891196	DISCARD	Donor specific (5993)
NR4A2	X24	0.007950528	1.829039145	DISCARD	Donor specific (5993)
SPON1	X24	7.56e-06	1.766980182	DISCARD	Donor specific (5993)
FGFR3	X24	1.79e-05	1.765975305	DISCARD	Donor specific (5993)
FRMPD2	X24	0.000819584	1.740656227	DISCARD	Donor specific (5993)
GJA1	X24	4.11e-07	1.726755281	DISCARD	Donor specific (5993)
KLF4	X24	0.024637199	1.648992348	DISCARD	Donor specific (5993)
HES1	X24	0.001322198	1.591549142	DISCARD	Donor specific (5993)
MT2A	X24	0.010742426	1.546636867	DISCARD	Donor specific (5993)
AQP4	X24	4.11e-07	1.534223502	DISCARD	Donor specific (5993)
EGFR	X24	0.000862105	1.509379552	DISCARD	Donor specific (5993)
PAX6	X24	0.00020838	1.462928778	DISCARD	Donor specific (5993)
TTYH1	X24	2.85e-06	1.44098028	DISCARD	Donor specific (5993)
TRIL	X24	1.08e-05	1.438497399	DISCARD	Donor specific (5993)
HILPDA	X24	0.00028685	1.417909071	DISCARD	Donor specific (5993)
CTSH	X24	0.00365397	1.35711161	DISCARD	Donor specific (5993)
MGST1	X24	7.56e-06	1.31577909	DISCARD	Donor specific (5993)
ELOVL2	X24	0.002961466	1.31405273	DISCARD	Donor specific (5993)
MEIS2	X24	0.007416099	1.310504312	DISCARD	Donor specific (5993)
HHATL	X24	0.008467092	1.300129457	DISCARD	Donor specific (5993)
RASGRP1	X24	0.014602952	1.299469398	DISCARD	Donor specific (5993)
ABCC9	X24	0.020688878	1.276639081	DISCARD	Donor specific (5993)
SOX2	X24	0.00020838	1.250116976	DISCARD	Donor specific (5993)
APOE	X24	2.85e-06	1.228360358	DISCARD	Donor specific (5993)
SULF1	X24	0.00020838	1.211661093	DISCARD	Donor specific (5993)
ANGPT1	X24	0.014463561	1.176004826	DISCARD	Donor specific (5993)
RGS16	X24	0.013004912	1.174172613	DISCARD	Donor specific (5993)
FBLN1	X24	0.050371653	1.152449176	DISCARD	Donor specific (5993)
NTNG2	X24	0.004961577	1.132569711	DISCARD	Donor specific (5993)
PTPRZ1	X24	0.002071959	1.128987174	DISCARD	Donor specific (5993)
CXCL14	X24	0.01107887	1.118231519	DISCARD	Donor specific (5993)
TGFB2	X24	0.001626166	1.116012089	DISCARD	Donor specific (5993)
NOTCH1	X24	0.007102031	1.10266375	DISCARD	Donor specific (5993)
FSTL4	X24	0.050371653	1.03791065	DISCARD	Donor specific (5993)
BCAN	X24	0.009203921	0.961972332	DISCARD	Donor specific (5993)
VCAN	X24	0.025046397	0.956216563	DISCARD	Donor specific (5993)
OXTR	X24	0.097738517	0.895147745	DISCARD	Donor specific (5993)
PTGDS	X24	0.001477478	0.886118069	DISCARD	Donor specific (5993)
RFTN1	X24	0.028207209	0.832372692	DISCARD	Donor specific (5993)
FGFR2	X24	0.089512748	0.807021745	DISCARD	Donor specific (5993)
TP53	X24	0.016490365	0.800023241	DISCARD	Donor specific (5993)
NTRK3	X24	0.01107887	0.77275718	DISCARD	Donor specific (5993)
IDH2	X24	0.001217086	0.74279313	DISCARD	Donor specific (5993)
KRT8	X24	0.049241498	0.630052172	DISCARD	Donor specific (5993)
SNTB2	X24	0.042956518	0.575780167	DISCARD	Donor specific (5993)
FGFR3	X25	2.55e-15	2.891179948	DISCARD	Donor specific (8741)
RYR3	X25	5.74e-11	2.496604587	DISCARD	Donor specific (8741)
OXTR	X25	5.59e-09	2.232188383	DISCARD	Donor specific (8741)
EGFR	X25	1.19e-08	2.214905833	DISCARD	Donor specific (8741)
TRIL	X25	5.44e-14	2.192165625	DISCARD	Donor specific (8741)
TTYH1	X25	7.45e-12	1.892581469	DISCARD	Donor specific (8741)
PAX6	X25	5.4e-08	1.881571768	DISCARD	Donor specific (8741)
GJA1	X25	3.85e-09	1.7990977	DISCARD	Donor specific (8741)
NTNG2	X25	3.48e-07	1.709789963	DISCARD	Donor specific (8741)
SPON1	X25	3.61e-06	1.682173117	DISCARD	Donor specific (8741)
APOE	X25	4.98e-12	1.626969761	DISCARD	Donor specific (8741)
AQP4	X25	3.59e-09	1.626463813	DISCARD	Donor specific (8741)
CTSH	X25	5.51e-05	1.604155684	DISCARD	Donor specific (8741)
IDH2	X25	4.4e-17	1.600775678	DISCARD	Donor specific (8741)
FEZF1	X25	0.002902583	1.489383736	DISCARD	Donor specific (8741)
SOX9	X25	0.000144616	1.440456996	DISCARD	Donor specific (8741)
FRMPD2	X25	0.002733603	1.402747258	DISCARD	Donor specific (8741)
SOX2	X25	2.14e-05	1.284365472	DISCARD	Donor specific (8741)
ABCC9	X25	0.006189301	1.270353729	DISCARD	Donor specific (8741)
BCAN	X25	4.57e-05	1.251616336	DISCARD	Donor specific (8741)
SNCG	X25	0.006000994	1.208073291	DISCARD	Donor specific (8741)
NR5A1	X25	0.039754918	1.1771333	DISCARD	Donor specific (8741)
NR2F2	X25	0.025971772	1.123376296	DISCARD	Donor specific (8741)
HS3ST4	X25	0.018263435	1.086278452	DISCARD	Donor specific (8741)
HHATL	X25	0.012511889	1.06901233	DISCARD	Donor specific (8741)
FBLN1	X25	0.024447536	1.068381159	DISCARD	Donor specific (8741)
ADCYAP1	X25	0.032517962	1.01052856	DISCARD	Donor specific (8741)
GDF10	X25	0.017985562	1.004494836	DISCARD	Donor specific (8741)
TRH	X25	0.058726303	0.978198158	DISCARD	Donor specific (8741)
PTGDS	X25	5.7e-05	0.974889641	DISCARD	Donor specific (8741)
RORB	X25	0.002544207	0.966437482	DISCARD	Donor specific (8741)
ADRA1A	X25	0.011393561	0.906529244	DISCARD	Donor specific (8741)
PTPRZ1	X25	0.011613503	0.834361766	DISCARD	Donor specific (8741)
LYPD6	X25	0.044457584	0.792605873	DISCARD	Donor specific (8741)
CDH4	X25	0.012511889	0.768540824	DISCARD	Donor specific (8741)
RAB3B	X25	0.034371194	0.767543401	DISCARD	Donor specific (8741)
ANK1	X25	0.082488317	0.755994153	DISCARD	Donor specific (8741)
CAMK2A	X25	0.023970962	0.754304878	DISCARD	Donor specific (8741)
HRH3	X25	0.038872051	0.746132319	DISCARD	Donor specific (8741)
NTRK3	X25	0.007123548	0.7061751	DISCARD	Donor specific (8741)
PCDH7	X25	0.030260375	0.695393503	DISCARD	Donor specific (8741)
MGST1	X25	0.017641613	0.671314696	DISCARD	Donor specific (8741)
CXCL14	X25	0.096191758	0.644344698	DISCARD	Donor specific (8741)
NOTCH1	X25	0.074721185	0.641294025	DISCARD	Donor specific (8741)
ELK1	X25	0.031665839	0.592890712	DISCARD	Donor specific (8741)
NTNG1	X25	0.039779321	0.552734291	DISCARD	Donor specific (8741)
EFHD1	X25	0.099787142	0.536143807	DISCARD	Donor specific (8741)
KIT	X26	3.99e-28	4.312577113	DISCARD	Donor specific (5459)
LAMP5	X26	1.18e-14	3.986889665	DISCARD	Donor specific (5459)
NXPH2	X26	7.26e-18	3.970993841	DISCARD	Donor specific (5459)
CCK	X26	1.53e-16	3.824055305	DISCARD	Donor specific (5459)
RELN	X26	1.82e-19	3.646989361	DISCARD	Donor specific (5459)
CRH	X26	3.42e-09	3.267896982	DISCARD	Donor specific (5459)
CXCL14	X26	5.56e-21	3.225313865	DISCARD	Donor specific (5459)
SYNPR	X26	2.74e-26	3.186179063	DISCARD	Donor specific (5459)
GAD1	X26	2.97e-10	2.967617935	DISCARD	Donor specific (5459)
GAD2	X26	8.41e-09	2.964502265	DISCARD	Donor specific (5459)
VIP	X26	7.98e-10	2.906295443	DISCARD	Donor specific (5459)
LYPD6B	X26	1.22e-05	2.794074348	DISCARD	Donor specific (5459)
MEIS2	X26	1.5e-11	2.713423349	DISCARD	Donor specific (5459)
ICAM5	X26	4.54e-06	2.681252993	DISCARD	Donor specific (5459)
TAC1	X26	4.24e-07	2.540903977	DISCARD	Donor specific (5459)
NRGN	X26	7.77e-05	2.440198519	DISCARD	Donor specific (5459)
SPHKAP	X26	5.92e-07	2.315324148	DISCARD	Donor specific (5459)
ALK	X26	2.51e-06	2.314473729	DISCARD	Donor specific (5459)
SLC17A7	X26	0.000719534	2.279973792	DISCARD	Donor specific (5459)
CUX2	X26	2.14e-07	2.279201836	DISCARD	Donor specific (5459)
HS3ST2	X26	8.93e-05	2.242240792	DISCARD	Donor specific (5459)
ITGA8	X26	0.000865001	2.209685817	DISCARD	Donor specific (5459)
PTCHD4	X26	4.7e-11	2.119970587	DISCARD	Donor specific (5459)
RASGRP1	X26	4.33e-06	2.081406159	DISCARD	Donor specific (5459)
DDN	X26	1.22e-05	2.075553759	DISCARD	Donor specific (5459)
CRYM	X26	0.004584181	1.926713759	DISCARD	Donor specific (5459)
THBS1	X26	0.002059318	1.832695715	DISCARD	Donor specific (5459)
TACR1	X26	1.09e-05	1.793437887	DISCARD	Donor specific (5459)
DOC2A	X26	0.000719534	1.67419931	DISCARD	Donor specific (5459)
ANO3	X26	0.000337923	1.663388224	DISCARD	Donor specific (5459)
GABRA5	X26	8.09e-07	1.637804859	DISCARD	Donor specific (5459)
RBFOX1	X26	0.000341446	1.634407565	DISCARD	Donor specific (5459)
LHX6	X26	0.000129962	1.608877349	DISCARD	Donor specific (5459)
VSNL1	X26	0.000251839	1.585876405	DISCARD	Donor specific (5459)
HTR2A	X26	0.000887472	1.546241908	DISCARD	Donor specific (5459)
TMEM233	X26	0.006801003	1.498567013	DISCARD	Donor specific (5459)
TAC3	X26	0.034613276	1.497154957	DISCARD	Donor specific (5459)
BTBD11	X26	3.76e-06	1.486921792	DISCARD	Donor specific (5459)
PLD5	X26	0.0002881	1.45094922	DISCARD	Donor specific (5459)
MYO16	X26	2.97e-10	1.423294614	DISCARD	Donor specific (5459)
ANK1	X26	0.001537515	1.421105231	DISCARD	Donor specific (5459)
KCNH5	X26	0.007340031	1.391705675	DISCARD	Donor specific (5459)
EYA4	X26	0.000719534	1.391015894	DISCARD	Donor specific (5459)
RXFP1	X26	0.032930343	1.349064	DISCARD	Donor specific (5459)
COL25A1	X26	0.025793966	1.306019653	DISCARD	Donor specific (5459)
HRH1	X26	0.000987475	1.283383385	DISCARD	Donor specific (5459)
GDF10	X26	0.007265158	1.219277992	DISCARD	Donor specific (5459)
ADRA1B	X26	0.07865388	1.202858983	DISCARD	Donor specific (5459)
TRPC5	X26	0.028005614	1.199768899	DISCARD	Donor specific (5459)
PCP4	X26	0.00144285	1.194181003	DISCARD	Donor specific (5459)
CRHR2	X26	0.035084093	1.189579592	DISCARD	Donor specific (5459)
CHGB	X26	0.015551152	1.168468962	DISCARD	Donor specific (5459)
CDH13	X26	0.024822293	1.167747833	DISCARD	Donor specific (5459)
NPFFR2	X26	0.041532395	1.15535296	DISCARD	Donor specific (5459)
MC4R	X26	0.029937724	1.131043545	DISCARD	Donor specific (5459)
B4GALNT1	X26	0.001895427	1.122770121	DISCARD	Donor specific (5459)
SLC26A4	X26	0.031513088	1.117695202	DISCARD	Donor specific (5459)
CCNB2	X26	0.048623911	1.116556321	DISCARD	Donor specific (5459)
PLCH1	X26	0.002780608	1.116462427	DISCARD	Donor specific (5459)
PTPRN	X26	0.021339447	1.115946545	DISCARD	Donor specific (5459)
MYT1L	X26	1.22e-05	1.051598783	DISCARD	Donor specific (5459)
NPNT	X26	0.074703102	1.012929836	DISCARD	Donor specific (5459)
TENM1	X26	0.03198061	1.008070885	DISCARD	Donor specific (5459)
SORCS1	X26	0.021898815	0.985641422	DISCARD	Donor specific (5459)
PCDH19	X26	0.065608842	0.972016418	DISCARD	Donor specific (5459)
ADARB1	X26	0.019624161	0.968308846	DISCARD	Donor specific (5459)
CAMK2A	X26	0.007512097	0.947027529	DISCARD	Donor specific (5459)
HS6ST2	X26	0.040810856	0.93239087	DISCARD	Donor specific (5459)
CRHBP	X26	0.01803002	0.929217448	DISCARD	Donor specific (5459)
LYPD6	X26	0.033513627	0.898142929	DISCARD	Donor specific (5459)
NPY1R	X26	0.061347481	0.893436055	DISCARD	Donor specific (5459)
SLC24A3	X26	0.000270677	0.885899582	DISCARD	Donor specific (5459)
POU6F2	X26	0.093843285	0.883420218	DISCARD	Donor specific (5459)
FSTL4	X26	0.059672247	0.871920574	DISCARD	Donor specific (5459)
DCC	X26	0.042694157	0.832319694	DISCARD	Donor specific (5459)
GFOD1	X26	0.002121566	0.792137897	DISCARD	Donor specific (5459)
NECAB2	X26	0.090064548	0.763594359	DISCARD	Donor specific (5459)
SHANK3	X26	0.003056111	0.720191737	DISCARD	Donor specific (5459)
DLG4	X26	0.031171494	0.690128651	DISCARD	Donor specific (5459)
LRRK2	X26	0.060622441	0.649668958	DISCARD	Donor specific (5459)
NTNG1	X26	0.030000608	0.62766105	DISCARD	Donor specific (5459)
ELK1	X26	0.07865388	0.519762622	DISCARD	Donor specific (5459)
SNCA	X26	0.071476743	0.516710096	DISCARD	Donor specific (5459)
CCL5	X27	7.23e-44	8.515554974	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
IL7R	X27	2.41e-43	8.065944757	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CCL4	X27	6.26e-34	7.475851862	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD3G	X27	2.59e-40	7.283317444	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
NKG7	X27	2.86e-39	7.101214646	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
TRAC	X27	1.43e-39	7.000271512	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD2	X27	9.46e-44	6.841908481	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CYTIP	X27	3.5e-28	6.189002152	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
GZMA	X27	2e-29	6.152225254	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
PTPRC	X27	4.14e-25	5.921529062	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
FASLG	X27	1.38e-26	5.540780857	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD52	X27	6.45e-28	5.533296072	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
THEMIS	X27	6.85e-36	5.334839142	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
KLRB1	X27	4.48e-24	4.41637872	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CXCR4	X27	1.14e-17	4.391391735	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
GNLY	X27	9.23e-19	4.062754377	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD48	X27	4.81e-24	3.939799475	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
ITGB2	X27	6.31e-12	3.786428632	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
IL18R1	X27	6.05e-10	3.719230179	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
ANXA1	X27	3.2e-06	3.472918532	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
MCTP2	X27	2.48e-12	3.214327798	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CORO1A	X27	6.62e-15	3.20605951	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
GPR183	X27	5.15e-07	3.186504013	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
S100A4	X27	8.23e-30	3.049497312	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
PECAM1	X27	3.34e-06	3.039045838	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
KLF2	X27	5e-06	2.956638568	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD163	X27	5.7e-06	2.954460663	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
RASGRP1	X27	3e-12	2.946875816	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
DCN	X27	4.34e-07	2.884945844	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
TGFBI	X27	4.48e-06	2.694675941	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
IGFBP4	X27	6.72e-06	2.672627424	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CEMIP	X27	5.15e-07	2.541530736	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
FLT1	X27	5.96e-06	2.508805548	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
STXBP2	X27	3.9e-09	2.502963503	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
TESPA1	X27	7.62e-10	2.489967058	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
HLA-DQA1	X27	2.92e-05	2.478104342	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
AVP	X27	0.007243306	2.363499902	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CEMIP2	X27	4.15e-07	2.305337675	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
PHLDB2	X27	5e-06	2.228169626	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
LYVE1	X27	3.04e-05	2.205548519	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD4	X27	4.97e-05	2.202109716	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
TGFB1	X27	1.19e-08	2.175139777	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
RGS10	X27	0.000222609	2.132539256	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
FCGR3A	X27	9.19e-05	2.096990677	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CTSS	X27	6.72e-06	2.066876033	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
IFITM3	X27	7.61e-06	2.003821571	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
THBS1	X27	0.000653532	1.973573067	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
KLF4	X27	0.001994858	1.963772253	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
HLA-DMB	X27	0.00090139	1.96015845	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
NR4A2	X27	0.001479445	1.959401012	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
FCER1G	X27	0.000664697	1.846823777	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CAV1	X27	0.00313371	1.845567925	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
LAMA2	X27	0.006438901	1.768769257	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
FBLN1	X27	0.000360527	1.71159648	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
ITGAM	X27	0.000534986	1.661666573	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
RNF144B	X27	0.002113462	1.661096599	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
GPNMB	X27	0.007708159	1.648551737	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
MS4A6A	X27	0.002761642	1.63304284	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CDK1	X27	0.00516861	1.630146735	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
C1orf162	X27	5.68e-05	1.571726226	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
TOP2A	X27	0.008825226	1.535804368	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
MAN1A1	X27	0.000270378	1.47861547	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
IGFBP5	X27	0.000127565	1.469479978	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD14	X27	0.006098184	1.433100915	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD68	X27	0.008183187	1.392288982	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CALCRL	X27	0.030972161	1.380072541	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
LY86	X27	0.0343242	1.357786608	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
SFRP2	X27	0.023297406	1.340757984	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
ITGAX	X27	0.013896234	1.315741906	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
FCGR1A	X27	0.05188896	1.253804608	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
AIF1	X27	0.003916878	1.24410021	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
GPR34	X27	0.036882911	1.235000314	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
DDR2	X27	0.001686797	1.23068399	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
GAS2L3	X27	0.046886845	1.174403773	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
SERPINA3	X27	0.040022554	1.16373999	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CD86	X27	0.05850186	1.135326432	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
CX3CR1	X27	0.033932379	1.129240653	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
LEPR	X27	0.060346499	1.103479122	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
COL12A1	X27	0.057572267	1.093052209	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
RFTN1	X27	0.001127801	1.058023732	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
GPER1	X27	0.054357956	0.989373784	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
NES	X27	0.0343242	0.980646497	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
THSD4	X27	0.077706318	0.965050108	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
SNTB2	X27	2.43e-05	0.962246866	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
MKI67	X27	0.094547211	0.943589368	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
RNASET2	X27	0.012438706	0.909806536	Peripheral_immune_NK-or_Tcell	Likely circulating WBCs, given high densities in similar patterns to vascular clusters.
