gene_symbol	xenium_gene	disorders	tested_tf	xpr_vVMH	xpr_vVMH_M	xpr_vVMH_F	xpr_vARC	xpr_vARC_M	xpr_vARC_F	vARC_sexDE_fdrsig	vVMH_sexDE_fdrsig	vARC_sexDE_nomsig	vVMH_sexDE_nomsig	xARC_sexDE_FDRpt1clusts	xVMH_sexDE_FDRpt1clusts
AC233992.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC39A4	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
VPS28	No	BMI, ADHD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TONSL	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TONSL-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CYHR1	No	ADHD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC084125.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KIFC2	No	BIP, ADHD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FOXH1	No	ADHD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PPP1R16A	No	ADHD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC084125.2	No	ADHD, MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GPT	No	SCZ, BIP	NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
MFSD3	No	ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RECQL4	No	ADHD, MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC084125.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LRRC14	No	SCZ, ADHD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LRRC24	No	ADHD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
C8orf82	No	ADHD, AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ARHGAP39	No	ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AF186192.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AF186192.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZNF251	No	ADHD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZNF34	No	ADHD	NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RPL8	No	BMI, ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZNF517	No	ADHD, ASD	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZNF7	No	ADHD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
COMMD5	No	SCZ, BIP, ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AF235103.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZNF250	No	ADHD	YES	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZNF16	No	ADHD	NO	NO	NO	YES	NO	YES	YES	NO	NO	YES	NO	NO	NO
AF235103.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZNF252P-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C8orf33	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
WASHC1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL928970.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FAM138C	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PGM5P3-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL449043.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01388	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FOXD4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CBWD1	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL158832.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DOCK8-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DOCK8	No	ADHD, ASD, NDD	NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
AL161725.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KANK1	No	ADHD, ASD, AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL392089.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL136979.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DMRT1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DMRT3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL358976.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01230	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DMRT2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SMARCA2	No	ASD, NDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
VLDLR-AS1	No		NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
AL353614.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
VLDLR	No	AD, NDD, SCZ, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL450467.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PUM3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC01231	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RFX3	No	MDD, ASD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
RFX3-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL354977.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GLIS3	No	MDD	YES	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL137071.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GLIS3-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL359095.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL162419.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC1A1	No	ASD, MDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SPATA6L	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLPP6	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CDC37L1-DT	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CDC37L1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AK3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL353151.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RCL1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
JAK2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IGHEP2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
INSL6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
INSL4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RLN2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RLN1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL135786.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLGRKT	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
CD274	No	BMI	NO	NO	NO	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL162253.2	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
PDCD1LG2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RIC1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL136980.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ERMP1	No	ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
KIAA2026	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MLANA	No	ASD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RANBP6	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL162384.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IL33	No	AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
UHRF2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL133480.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GLDC	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL162411.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02851	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL354707.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KDM4C	No	BMI, SCZ, ASD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL513412.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL161443.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL157703.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL354694.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DMAC1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PTPRD	No	BMI, MDD, SCZ, ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL583805.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PTPRD-AS1	No	BMI	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
PTPRD-AS2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL135790.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL162413.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL355672.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL589678.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TYRP1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LURAP1L-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LURAP1L	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL161449.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MPDZ	No	MDD, AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL162386.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL583785.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01235	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NFIB	No	BMI, ASD, NDD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL136366.1	No		NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
AL137017.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL159169.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL159169.2	No	MDD	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
ZDHHC21	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CER1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FREM1	No	NDD	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
TTC39B	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SNAPC3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PSIP1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CCDC171	No	BMI, MDD, OCD	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
C9orf92	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
BNC2	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
BNC2-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL162725.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CNTLN	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SH3GL2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ADAMTSL1	No		NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
SAXO1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RRAGA	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
HAUS6	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLIN2	No	BMI, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DENND4C	No	ADHD	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AL391834.1	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
AL391834.2	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
RPS6	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL391834.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ACER2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL158206.1	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
SLC24A2	No	ASD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL158077.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL591222.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MLLT3	No	BMI, OCD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FOCAD	No	OCD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FOCAD-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HACD4	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IFNB1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IFNA5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KLHL9	No	BMI, SCZ, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IFNA6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IFNA13	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IFNA2	No	MDD, GAD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL353732.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MIR31HG	No	SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IFNA1	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IFNE	No	SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MTAP	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL359922.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CDKN2A-DT	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CDKN2A	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CDKN2B-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CDKN2B	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DMRTA1	No	ADHD, OCD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01239	No	SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL391117.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL445623.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ELAVL2	No	MDD, ASD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL161628.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL365204.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL513317.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL353730.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TUSC1	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL353753.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CAAP1	No	SCZ, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLAA	No	NDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IFT74	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IFT74-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LRRC19	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL355432.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TEK	No	ADHD, SCZ, ASD	NO	YES	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
EQTN	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MOB3B	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL451123.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL451123.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C9orf72	No	BMI, AD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL360014.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL353746.1	No		NO	YES	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
LINGO2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL445526.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL162388.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ACO1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DDX58	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TOPORS	No	BMI, ADHD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SMIM27	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NDUFB6	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TAF1L	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL589642.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL589642.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM215	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL157884.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
APTX	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DNAJA1	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SMU1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
B4GALT1	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
B4GALT1-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SPINK4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
BAG1	No	BMI, MDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CHMP5	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NFX1	No	BMI	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AQP7	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL356218.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AQP3	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NOL6	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL139008.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ANKRD18B	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CYP4F26P	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TRBV20OR9-2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TRBV23OR9-2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PTENP1-AS	No	BMI	NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
TRBV26OR9-2	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL356489.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL356489.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL356489.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL356489.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01251	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRSS3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
UBE2R2-AS1	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
UBE2R2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
UBAP2	No	TS, AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL354989.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DCAF12	No	BMI, SCZ, TS	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
UBAP1	No	BMI, BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
KIF24	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NUDT2	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MYORG	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
C9orf24	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FAM219A	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DNAI1	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
ENHO	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL160270.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CNTFR	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CNTFR-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RPP25L	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DCTN3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ARID3C	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SIGMAR1	No	AUD, SCZ, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GALT	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IL11RA	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
CCL27	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL162231.1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL162231.2	No		NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
CCL19	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CCL21	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL589645.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FAM205C	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PHF24	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DNAJB5-DT	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DNAJB5	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL355377.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL355377.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C9orf131	No	BMI, SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
